gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
ECHS1,-0.643959523,Arg,GCN2KO,0.923011365,0.045094122,-0.689053644,,,,,
ECI1,0.003492295,Arg,GCN2KO,0.001799075,-1.321417197,1.324909492,,,,,
ECI2,-1.129226228,Arg,GCN2KO,5.71E-12,-1.057854126,-0.071372102,,,,,
Q5VYK3,-1.052860813,Arg,GCN2KO,NA,NA,NA,,,,,
ECSIT,-0.795551882,Arg,GCN2KO,0.003154567,1.302849807,-2.098401689,,,,,
EDC3,-0.746988965,Arg,GCN2KO,0.009497281,-0.903325315,0.15633635,,,,,
EDC4,-0.411549912,Arg,GCN2KO,NA,NA,NA,,,,,
EDF1,-0.94819705,Arg,GCN2KO,1.01E-20,-1.500350907,0.552153857,,,,,
EDRF1,-4.137327149,Arg,GCN2KO,0.805936189,-0.192752025,-3.944575125,,,,,
EEA1,-1.259112805,Arg,GCN2KO,0.153737102,0.790902024,-2.050014829,,,,,
EEF1A1,-0.939144,Arg,GCN2KO,0.100712508,-0.234432869,-0.704711131,,,,,
EEF1A2,-0.01044503,Arg,GCN2KO,0.042169854,-0.376321861,0.365876831,,,,,
EEF1B2,0.10465975,Arg,GCN2KO,0.663602486,0.048407558,0.056252192,,,,,
EEF1D,-0.327966277,Arg,GCN2KO,0.011189484,-0.438925484,0.110959207,,,,,
EEF1G,0.255107835,Arg,GCN2KO,0.004056222,0.342021407,-0.086913572,,,,,
EEF2,-1.75142642,Arg,GCN2KO,0.610855938,0.186090576,-1.937516996,,,,,
GFM1,-1.797865442,Arg,GCN2KO,0.924480981,-0.043732155,-1.754133288,,,,,
EFHD2,-0.720839915,Arg,GCN2KO,NA,NA,NA,,,,,
EFL1,-4.409990985,Arg,GCN2KO,NA,NA,NA,,,,,
TSFM,-1.492820615,Arg,GCN2KO,4.34E-04,-0.545678219,-0.947142396,,,,,
TUFM,-0.30519539,Arg,GCN2KO,1.40E-04,-0.681272828,0.376077438,,,,,
EGLN1,-3.883254779,Arg,GCN2KO,0.007557506,-2.926552253,-0.956702526,,,,,
EHBP1,-4.621889214,Arg,GCN2KO,0.28403871,-0.514633591,-4.107255623,,,,,
EHD1,-1.091440043,Arg,GCN2KO,NA,NA,NA,,,,,
EHD4,-1.336835203,Arg,GCN2KO,NA,NA,NA,,,,,
EHMT1,-4.868465135,Arg,GCN2KO,0.301629329,-0.681522515,-4.18694262,,,,,
EHMT2,-1.643429842,Arg,GCN2KO,0.055994766,-1.366478902,-0.276950941,,,,,
EIF2B1,-1.097453427,Arg,GCN2KO,NA,NA,NA,,,,,
EIF2B2,-1.34614261,Arg,GCN2KO,0.28585009,-0.536097293,-0.810045317,,,,,
EIF2B4,0.28142578,Arg,GCN2KO,6.91E-05,0.622450963,-0.341025183,,,,,
EIF2B5,-0.424013705,Arg,GCN2KO,0.096464797,1.038194167,-1.462207872,,,,,
EIF2B3,-1.61775648,Arg,GCN2KO,0.047429542,0.269724591,-1.887481071,,,,,
EIF1,-2.210472917,Arg,GCN2KO,4.91E-09,1.192751509,-3.403224427,,,,,
EIF1B,-2.630234931,Arg,GCN2KO,6.10E-10,1.370682138,-4.000917069,,,,,
EIF2A,-1.57579441,Arg,GCN2KO,0.001189128,0.60125352,-2.17704793,,,,,
EIF2D,-3.177480537,Arg,GCN2KO,1.09E-31,-4.128138029,0.950657491,,,,,
EIF3A,-1.084871845,Arg,GCN2KO,0.005749836,0.579037402,-1.663909247,,,,,
EIF3B,-0.826765292,Arg,GCN2KO,0.010166912,-1.745149105,0.918383813,,,,,
EIF3C,-1.2189418,Arg,GCN2KO,4.25E-06,0.803398482,-2.022340282,,,,,
EIF3D,-1.10974629,Arg,GCN2KO,1.84E-10,0.968877807,-2.078624097,,,,,
EIF3E,-1.234862073,Arg,GCN2KO,4.05E-06,0.678369664,-1.913231736,,,,,
EIF3F,-1.038379723,Arg,GCN2KO,0.080292851,-0.383491738,-0.654887985,,,,,
EIF3G,-0.898671895,Arg,GCN2KO,0.043248927,0.307501046,-1.206172941,,,,,
EIF3H,-0.79512505,Arg,GCN2KO,3.03E-13,1.08099512,-1.87612017,,,,,
EIF3I,-0.932669722,Arg,GCN2KO,0.230563455,0.184108453,-1.116778176,,,,,
EIF3J,-0.411763137,Arg,GCN2KO,0.399587055,0.455490887,-0.867254025,,,,,
EIF3K,-0.987448225,Arg,GCN2KO,0.068525062,0.213102113,-1.200550338,,,,,
EIF3L,-1.11491456,Arg,GCN2KO,0.108846461,0.270264837,-1.385179397,,,,,
EIF3M,-1.333635658,Arg,GCN2KO,0.912676647,-0.0149694,-1.318666258,,,,,
ETNK1,-1.853575305,Arg,GCN2KO,NA,NA,NA,,,,,
ELAVL1,-1.328626365,Arg,GCN2KO,NA,NA,NA,,,,,
ELF2,NA,Arg,GCN2KO,0.007768637,0.556214078,NA,,,,,
ELL,-2.125169775,Arg,GCN2KO,NA,NA,NA,,,,,
ELMOD2,-0.816673997,Arg,GCN2KO,0.088223189,-0.532932276,-0.283741721,,,,,
ELMO2,-2.706669815,Arg,GCN2KO,NA,NA,NA,,,,,
ELOA,-1.341966892,Arg,GCN2KO,NA,NA,NA,,,,,
ELOB,-1.03745721,Arg,GCN2KO,NA,NA,NA,,,,,
ELOC,-1.127120763,Arg,GCN2KO,NA,NA,NA,,,,,
ELOF1,-0.28221096,Arg,GCN2KO,NA,NA,NA,,,,,
ELOVL5,-1.62960995,Arg,GCN2KO,0.204496411,1.187206351,-2.816816301,,,,,
ELOVL7,-0.463575692,Arg,GCN2KO,NA,NA,NA,,,,,
ELP1,-2.434054602,Arg,GCN2KO,NA,NA,NA,,,,,
ELP2,-2.478098537,Arg,GCN2KO,3.66E-08,-0.990502667,-1.487595871,,,,,
AHCTF1,-3.811093292,Arg,GCN2KO,0.030963501,0.946390457,-4.757483749,,,,,
MPP1,-1.35129044,Arg,GCN2KO,NA,NA,NA,,,,,
EML1,NA,Arg,GCN2KO,NA,NA,NA,,,,,
EML4,-0.379860942,Arg,GCN2KO,0.555122039,0.23663564,-0.616496583,,,,,
EMC1,-0.174352195,Arg,GCN2KO,0.310025155,-0.720903672,0.546551477,,,,,
EMC2,-0.766264002,Arg,GCN2KO,0.8579133,-0.052835315,-0.713428688,,,,,
EMC3,-0.86060965,Arg,GCN2KO,4.13E-04,0.567669745,-1.428279395,,,,,
EMC8,-0.19377568,Arg,GCN2KO,NA,NA,NA,,,,,
EMD,-1.313060437,Arg,GCN2KO,NA,NA,NA,,,,,
EMP3,1.9530006,Arg,GCN2KO,2.99E-04,1.437631293,0.515369307,,,,,
ENAH,-1.65735264,Arg,GCN2KO,0.723033712,0.233627085,-1.890979725,,,,,
ENO1,-0.368655912,Arg,GCN2KO,4.24E-18,0.961452954,-1.330108867,,,,,
ENO2,-0.337291578,Arg,GCN2KO,2.79E-07,0.889155045,-1.226446622,,,,,
ENOPH1,-0.194267492,Arg,GCN2KO,NA,NA,NA,,,,,
HSP90B1,-1.136331897,Arg,GCN2KO,0.304693442,0.231989612,-1.368321509,,,,,
ENPP4,-1.013613215,Arg,GCN2KO,0.777941999,-0.273620827,-0.739992388,,,,,
ENSA,-0.83890419,Arg,GCN2KO,5.21E-05,1.405921289,-2.244825479,,,,,
ENY2,-1.580176842,Arg,GCN2KO,0.001096942,0.509624079,-2.089800922,,,,,
EPS15L1,-0.274842792,Arg,GCN2KO,NA,NA,NA,,,,,
EP400,-3.93843217,Arg,GCN2KO,0.940448674,0.039146804,-3.977578974,,,,,
EPPK1,-0.973342745,Arg,GCN2KO,NA,NA,NA,,,,,
EPN1,-0.353382555,Arg,GCN2KO,NA,NA,NA,,,,,
CLINT1,-1.696981185,Arg,GCN2KO,0.225993152,-0.456359672,-1.240621513,,,,,
EPS15,-0.653614633,Arg,GCN2KO,0.965881717,0.031259717,-0.684874349,,,,,
SELENOI,-1.018328022,Arg,GCN2KO,NA,NA,NA,,,,,
ERAL1,-8.052370926,Arg,GCN2KO,NA,NA,NA,,,,,
ERCC6L,-3.269875302,Arg,GCN2KO,0.722662247,0.165785035,-3.435660337,,,,,
ERCC1,NA,Arg,GCN2KO,0.008141266,0.777446776,NA,,,,,
ERCC3,-0.877449203,Arg,GCN2KO,0.649829129,-0.13590053,-0.741548673,,,,,
ETF1,-0.606804838,Arg,GCN2KO,0.11061228,0.713851667,-1.320656505,,,,,
GSPT1,-0.764172148,Arg,GCN2KO,0.994100817,-0.002861929,-0.761310218,,,,,
SQLE,-2.453764247,Arg,GCN2KO,1.27E-05,-1.941259142,-0.512505105,,,,,
ERGIC3,-0.857601725,Arg,GCN2KO,4.02E-17,-1.368533167,0.510931442,,,,,
ERH,-0.86120161,Arg,GCN2KO,0.005640817,0.685565497,-1.546767107,,,,,
ERI3,-0.425755315,Arg,GCN2KO,NA,NA,NA,,,,,
ERLIN1,-0.88982607,Arg,GCN2KO,0.077939116,-1.222761766,0.332935696,,,,,
ERLIN2,-0.697780178,Arg,GCN2KO,0.166179762,-0.645930934,-0.051849244,,,,,
ERO1A,-1.181522012,Arg,GCN2KO,0.608691331,0.345493692,-1.527015704,,,,,
ERP29,-0.44926957,Arg,GCN2KO,8.75E-04,0.782080483,-1.231350053,,,,,
ERP44,-0.93598013,Arg,GCN2KO,0.795745569,-0.065348011,-0.870632119,,,,,
GATD3,-0.793081703,Arg,GCN2KO,NA,NA,NA,,,,,
ESF1,-2.128804315,Arg,GCN2KO,7.82E-14,0.88263054,-3.011434855,,,,,
ESD,-0.239183367,Arg,GCN2KO,3.92E-06,0.757532858,-0.996716225,,,,,
ESYT1,-0.738709303,Arg,GCN2KO,NA,NA,NA,,,,,
ESYT2,-0.7001349,Arg,GCN2KO,NA,NA,NA,,,,,
ETFA,0.724626002,Arg,GCN2KO,0.018908054,0.349273973,0.37535203,,,,,
ETFB,-0.37649214,Arg,GCN2KO,5.19E-09,-1.068008948,0.691516808,,,,,
ETFDH,-2.171664705,Arg,GCN2KO,0.053655246,-0.830108876,-1.341555829,,,,,
EWSR1,-0.939792358,Arg,GCN2KO,3.09E-17,-1.128878251,0.189085894,,,,,
EXD2,-6.395214255,Arg,GCN2KO,0.655123317,-0.382492414,-6.012721841,,,,,
EXOC1,-1.81624154,Arg,GCN2KO,3.15E-04,1.219124219,-3.035365759,,,,,
EXOC2,-1.230476732,Arg,GCN2KO,0.567539112,0.456497085,-1.686973817,,,,,
EXOC3,-1.045851187,Arg,GCN2KO,NA,NA,NA,,,,,
EXOC4,-2.072520442,Arg,GCN2KO,0.266829388,-0.671033434,-1.401487009,,,,,
EXOC5,-1.11115626,Arg,GCN2KO,0.782931851,-0.119603298,-0.991552962,,,,,
EXOC7,-1.370122735,Arg,GCN2KO,9.85E-06,-1.462224888,0.092102153,,,,,
EXOSC1,-0.884144848,Arg,GCN2KO,6.25E-06,0.891732888,-1.775877735,,,,,
EXOSC2,-1.858427247,Arg,GCN2KO,0.218979003,-0.55117114,-1.307256108,,,,,
EXOSC3,-3.85928032,Arg,GCN2KO,1.96E-05,-0.987579895,-2.871700425,,,,,
EXOSC4,-0.786149413,Arg,GCN2KO,8.42E-14,1.452022155,-2.238171568,,,,,
EXOSC7,-0.993463953,Arg,GCN2KO,0.414646097,0.134941461,-1.128405413,,,,,
EXOSC8,-1.131842293,Arg,GCN2KO,3.46E-10,-0.77189147,-0.359950823,,,,,
EXOSC9,-2.02105864,Arg,GCN2KO,1.00E-12,0.687289657,-2.708348297,,,,,
EXOSC10,-1.315340855,Arg,GCN2KO,1.14E-28,-2.655719881,1.340379026,,,,,
EXPH5,-2.06654897,Arg,GCN2KO,0.344096784,0.823413949,-2.889962919,,,,,
EYA3,-0.696361862,Arg,GCN2KO,0.03355597,0.960227241,-1.656589103,,,,,
EZH2,-1.244309233,Arg,GCN2KO,0.001008953,0.749473459,-1.993782691,,,,,
EZR,-0.722773338,Arg,GCN2KO,1.83E-04,0.853884187,-1.576657525,,,,,
ST13,-0.826523023,Arg,GCN2KO,0.228210296,-0.261186751,-0.565336272,,,,,
FAM114A2,-1.652114897,Arg,GCN2KO,0.173648348,-0.534101536,-1.118013361,,,,,
FAM118B,-0.05251802,Arg,GCN2KO,0.872508191,0.09910579,-0.15162381,,,,,
FAM120A,-1.467407585,Arg,GCN2KO,0.756760201,-0.204033161,-1.263374424,,,,,
FAM120B,-5.529396482,Arg,GCN2KO,NA,NA,NA,,,,,
FAM136A,-0.080493695,Arg,GCN2KO,1.83E-05,-0.649838208,0.569344513,,,,,
FAM162A,-1.53402189,Arg,GCN2KO,0.096549419,0.310340874,-1.844362764,,,,,
FAM169A,-0.55904455,Arg,GCN2KO,NA,NA,NA,,,,,
FHIP1B,-0.719879253,Arg,GCN2KO,NA,NA,NA,,,,,
PSME3IP1,-3.042783335,Arg,GCN2KO,NA,NA,NA,,,,,
SLX9,-0.363937557,Arg,GCN2KO,NA,NA,NA,,,,,
PRXL2A,-0.632073002,Arg,GCN2KO,NA,NA,NA,,,,,
FAM241A,-0.883851337,Arg,GCN2KO,NA,NA,NA,,,,,
FAM91A1,-0.489484013,Arg,GCN2KO,NA,NA,NA,,,,,
CYRIB,-1.462119857,Arg,GCN2KO,NA,NA,NA,,,,,
FAM50A,-0.529085365,Arg,GCN2KO,6.68E-05,0.785285236,-1.314370601,,,,,
FAM53C,-1.802019334,Arg,GCN2KO,NA,NA,NA,,,,,
FAM98A,-0.942973883,Arg,GCN2KO,0.420863116,-0.251179028,-0.691794854,,,,,
FAM98B,-0.759490265,Arg,GCN2KO,0.166801271,-0.82438621,0.064895945,,,,,
FAH,-0.904140388,Arg,GCN2KO,1.71E-08,-1.519187579,0.615047191,,,,,
MCAT,-2.341211167,Arg,GCN2KO,0.358643096,-0.384237401,-1.956973766,,,,,
FABP5,-0.835962803,Arg,GCN2KO,6.44E-16,-1.258822095,0.422859293,,,,,
FANCD2,-3.517875355,Arg,GCN2KO,7.90E-20,-2.169525761,-1.348349594,,,,,
ZMPSTE24,0.039641752,Arg,GCN2KO,0.807003125,-0.099185652,0.138827405,,,,,
FAR1,-7.844744978,Arg,GCN2KO,0.771716113,0.140726989,-7.985471966,,,,,
FADS1,-4.536953401,Arg,GCN2KO,NA,NA,NA,,,,,
FAF1,-0.734180298,Arg,GCN2KO,0.005000063,0.863795833,-1.59797613,,,,,
FAF2,-0.538378621,Arg,GCN2KO,0.003252175,0.605859312,-1.144237933,,,,,
FAHD2A,-0.81970695,Arg,GCN2KO,2.94E-05,-1.644386052,0.824679102,,,,,
FAHD1,-0.022379753,Arg,GCN2KO,0.013019168,1.160499163,-1.182878916,,,,,
FAIM,-1.639384837,Arg,GCN2KO,0.643720611,-0.110450598,-1.528934239,,,,,
FASTKD2,-2.835598685,Arg,GCN2KO,0.389898745,-0.177088887,-2.658509798,,,,,
TBRG4,-1.457337005,Arg,GCN2KO,5.40E-05,1.413198925,-2.87053593,,,,,
FASTKD5,-6.361731665,Arg,GCN2KO,0.289789389,-0.404603333,-5.957128333,,,,,
FAM3C,-3.530696723,Arg,GCN2KO,0.912282628,0.09056206,-3.621258783,,,,,
FANCI,-4.002806975,Arg,GCN2KO,1.47E-07,-0.818231727,-3.184575248,,,,,
BRIP1,-2.07191342,Arg,GCN2KO,0.094744734,0.812140764,-2.884054184,,,,,
FASN,-1.480100725,Arg,GCN2KO,NA,NA,NA,,,,,
FBL,-0.523823198,Arg,GCN2KO,0.832091771,0.070519115,-0.594342312,,,,,
FBXO7,-1.607624255,Arg,GCN2KO,0.001834439,0.755461946,-2.363086201,,,,,
FCF1,-0.771595353,Arg,GCN2KO,2.45E-05,-1.520317384,0.748722032,,,,,
GFUS,-1.932645748,Arg,GCN2KO,NA,NA,NA,,,,,
FDFT1,-5.442611537,Arg,GCN2KO,1.24E-27,-2.162973291,-3.279638246,,,,,
FEN1,-0.161434865,Arg,GCN2KO,0.981775287,-0.019373314,-0.142061551,,,,,
FER,-2.90279346,Arg,GCN2KO,6.65E-04,-1.271266809,-1.631526651,,,,,
FERMT2,-1.54099437,Arg,GCN2KO,0.233346505,-0.463061832,-1.077932538,,,,,
AFP,4.536209347,Arg,GCN2KO,NA,NA,NA,,,,,
FGFR3,-1.47042973,Arg,GCN2KO,NA,NA,NA,,,,,
FHL1,0.715800302,Arg,GCN2KO,NA,NA,NA,,,,,
FHL2,-0.334134305,Arg,GCN2KO,NA,NA,NA,,,,,
FHOD1,-1.360935487,Arg,GCN2KO,NA,NA,NA,,,,,
FIGNL1,-0.221818828,Arg,GCN2KO,0.001921693,-1.427473921,1.205655093,,,,,
FIP1L1,-1.98558428,Arg,GCN2KO,0.097727502,0.501387617,-2.486971897,,,,,
FIS1,-0.19706953,Arg,GCN2KO,3.26E-04,-0.764916752,0.567847222,,,,,
FITM2,2.68520369,Arg,GCN2KO,NA,NA,NA,,,,,
FKBP10,-1.354049858,Arg,GCN2KO,NA,NA,NA,,,,,
FKBP15,-3.52286393,Arg,GCN2KO,0.045430568,-0.878175317,-2.644688612,,,,,
FKBP1A,-0.465448935,Arg,GCN2KO,0.325896414,-0.369076787,-0.096372148,,,,,
FKBP2,-0.438787175,Arg,GCN2KO,1.06E-07,-1.593754091,1.154966916,,,,,
FKBP3,-0.434725633,Arg,GCN2KO,0.005111314,-0.506685966,0.071960333,,,,,
FKBP4,-0.408740488,Arg,GCN2KO,0.70343259,0.231055183,-0.639795671,,,,,
FKBP5,-0.400280613,Arg,GCN2KO,0.301279421,0.539354541,-0.939635154,,,,,
FKBP7,-1.09820733,Arg,GCN2KO,0.508138627,-0.16438098,-0.93382635,,,,,
FKBP8,-1.550842235,Arg,GCN2KO,NA,NA,NA,,,,,
WTAP,-1.02702569,Arg,GCN2KO,NA,NA,NA,,,,,
FLII,-1.606430063,Arg,GCN2KO,NA,NA,NA,,,,,
FLNA,-0.92793443,Arg,GCN2KO,NA,NA,NA,,,,,
FLNB,-0.855315963,Arg,GCN2KO,5.46E-05,-2.445306667,1.589990705,,,,,
FLNC,-1.133090658,Arg,GCN2KO,NA,NA,NA,,,,,
FLOT1,-1.288177613,Arg,GCN2KO,0.768826648,0.166536413,-1.454714025,,,,,
FLOT2,-1.218941773,Arg,GCN2KO,NA,NA,NA,,,,,
FLVCR1,-1.91069767,Arg,GCN2KO,NA,NA,NA,,,,,
FMR1,-1.742010142,Arg,GCN2KO,0.477798358,0.202923607,-1.94493375,,,,,
FNBP4,0.168167479,Arg,GCN2KO,0.003758969,0.992806221,-0.824638742,,,,,
FNDC3A,-0.048526255,Arg,GCN2KO,0.073598346,0.605484467,-0.654010722,,,,,
FNTA,-0.831810963,Arg,GCN2KO,0.113122128,1.449575007,-2.28138597,,,,,
FNTB,-0.909172937,Arg,GCN2KO,0.307163388,-0.832385022,-0.076787915,,,,,
FOCAD,-1.215747373,Arg,GCN2KO,0.355313237,-0.560949311,-0.654798061,,,,,
FOXK1,-0.408235713,Arg,GCN2KO,NA,NA,NA,,,,,
FPGT,-1.42976701,Arg,GCN2KO,2.24E-05,-1.981428686,0.551661676,,,,,
FDPS,-0.848403817,Arg,GCN2KO,1.80E-23,-1.728393553,0.879989735,,,,,
CEP43,-2.260147594,Arg,GCN2KO,NA,NA,NA,,,,,
FXN,-1.577243235,Arg,GCN2KO,0.005289753,-1.020964371,-0.556278864,,,,,
FRG1,-5.104644051,Arg,GCN2KO,0.563489597,-0.092767603,-5.011876448,,,,,
FTH1,1.259125507,Arg,GCN2KO,0.065312509,-0.285762965,1.544888472,,,,,
FRYL,-2.903074172,Arg,GCN2KO,0.615362193,0.358882451,-3.261956623,,,,,
FSCN1,-0.34950308,Arg,GCN2KO,NA,NA,NA,,,,,
FTO,0.20719052,Arg,GCN2KO,0.992977561,-0.007616272,0.214806792,,,,,
FUBP1,-1.0242294,Arg,GCN2KO,4.75E-04,-0.951397907,-0.072831493,,,,,
KHSRP,-0.67282594,Arg,GCN2KO,NA,NA,NA,,,,,
FUBP3,-1.163258992,Arg,GCN2KO,NA,NA,NA,,,,,
FUCA2,-0.3949825,Arg,GCN2KO,0.567801879,0.160027001,-0.555009501,,,,,
FH,-1.593190838,Arg,GCN2KO,0.595416922,-0.113154726,-1.480036111,,,,,
FUNDC1,-1.098868113,Arg,GCN2KO,0.048077452,0.645483465,-1.744351577,,,,,
FUNDC2,0.375915952,Arg,GCN2KO,0.502913408,-0.20809262,0.584008572,,,,,
FUS,-2.32108267,Arg,GCN2KO,6.23E-04,1.495403271,-3.816485941,,,,,
FLYWCH2,-0.350417265,Arg,GCN2KO,0.253025733,0.529255184,-0.879672449,,,,,
FXR1,-2.312899245,Arg,GCN2KO,0.072611614,-0.26533397,-2.047565275,,,,,
FXR2,-0.573233062,Arg,GCN2KO,NA,NA,NA,,,,,
G3BP1,-1.249390467,Arg,GCN2KO,0.006120235,-0.811194874,-0.438195593,,,,,
G3BP2,-1.105902692,Arg,GCN2KO,0.128104629,0.587997029,-1.693899722,,,,,
GAPDH,-0.2735223,Arg,GCN2KO,0.471797282,0.102266623,-0.375788923,,,,,
GADD45GIP1,-1.574394383,Arg,GCN2KO,0.106940728,-0.359581033,-1.21481335,,,,,
G6PD,-0.896867317,Arg,GCN2KO,NA,NA,NA,,,,,
GPI,-0.41761101,Arg,GCN2KO,0.51774175,-0.20048219,-0.21712882,,,,,
GABPA,-1.169139797,Arg,GCN2KO,NA,NA,NA,,,,,
GALK1,-0.877214823,Arg,GCN2KO,NA,NA,NA,,,,,
GALNT1,-0.521482315,Arg,GCN2KO,NA,NA,NA,,,,,
GALNT2,-3.87114261,Arg,GCN2KO,NA,NA,NA,,,,,
GALNT7,-3.69597738,Arg,GCN2KO,0.069741211,-0.769232285,-2.926745095,,,,,
GANAB,-0.813038853,Arg,GCN2KO,NA,NA,NA,,,,,
GAPVD1,-1.623881835,Arg,GCN2KO,0.156300348,-0.41370295,-1.210178885,,,,,
GAR1,-0.895237435,Arg,GCN2KO,0.303456306,0.628369542,-1.523606977,,,,,
GARS1,-0.62568541,Arg,GCN2KO,NA,NA,NA,,,,,
QRSL1,-2.543964667,Arg,GCN2KO,0.046013726,0.700146753,-3.244111421,,,,,
GBA3,-1.061982798,Arg,GCN2KO,NA,NA,NA,,,,,
GNB1,-0.893016517,Arg,GCN2KO,0.400921177,0.447701559,-1.340718077,,,,,
GNB2,-1.0876328,Arg,GCN2KO,NA,NA,NA,,,,,
GNB4,-4.582778263,Arg,GCN2KO,0.759849012,0.144554019,-4.727332282,,,,,
GBF1,-1.85363738,Arg,GCN2KO,0.98297425,-0.015367498,-1.838269882,,,,,
GABARAP,0.585677695,Arg,GCN2KO,2.32E-06,1.205872995,-0.6201953,,,,,
GABARAPL2,-1.43421422,Arg,GCN2KO,0.013441045,-0.684442989,-0.749771231,,,,,
GCC2,-4.055802237,Arg,GCN2KO,0.006990969,0.564683495,-4.620485732,,,,,
GCDH,-1.04118139,Arg,GCN2KO,NA,NA,NA,,,,,
GCFC2,-1.364557515,Arg,GCN2KO,2.06E-05,-1.595396757,0.230839242,,,,,
GCN1,-0.870473878,Arg,GCN2KO,0.002109002,-1.687308439,0.816834562,,,,,
TUBGCP2,-1.897096582,Arg,GCN2KO,5.21E-04,-1.145997028,-0.751099554,,,,,
TUBGCP3,-0.676466173,Arg,GCN2KO,NA,NA,NA,,,,,
ACBD3,-1.767914807,Arg,GCN2KO,0.107316897,0.935302459,-2.703217267,,,,,
NR3C1,-1.49575922,Arg,GCN2KO,0.160484014,0.453002299,-1.948761519,,,,,
GCSH,-0.671697848,Arg,GCN2KO,2.24E-07,-1.512931296,0.841233448,,,,,
GLDC,-2.668274975,Arg,GCN2KO,NA,NA,NA,,,,,
GDAP1,-0.189738128,Arg,GCN2KO,3.30E-04,1.574988391,-1.764726519,,,,,
AGL,-1.487869758,Arg,GCN2KO,0.768084284,-0.114699001,-1.373170757,,,,,
GDI1,-0.004033555,Arg,GCN2KO,NA,NA,NA,,,,,
GDI2,-0.782889608,Arg,GCN2KO,0.030497184,-0.853029474,0.070139866,,,,,
ARHGDIA,-0.32001197,Arg,GCN2KO,NA,NA,NA,,,,,
GDPD1,-1.009659063,Arg,GCN2KO,0.886129788,0.0935687,-1.103227762,,,,,
RAP1GDS1,-1.007445365,Arg,GCN2KO,0.014069756,1.458699631,-2.466144996,,,,,
GMNN,-7.644770818,Arg,GCN2KO,0.056970331,-0.321918873,-7.322851945,,,,,
GEMIN2,-0.88352948,Arg,GCN2KO,0.087015256,0.74943039,-1.63295987,,,,,
GEMIN4,-1.596857052,Arg,GCN2KO,0.001406717,-2.150048933,0.553191881,,,,,
GEMIN5,-0.943362827,Arg,GCN2KO,0.741796641,-0.204437292,-0.738925536,,,,,
GEMIN6,-1.12978193,Arg,GCN2KO,0.005338163,-0.433526108,-0.696255822,,,,,
GEMIN8,0.621562608,Arg,GCN2KO,NA,NA,NA,,,,,
GPHN,-0.84404217,Arg,GCN2KO,NA,NA,NA,,,,,
GET4,-0.516888185,Arg,GCN2KO,NA,NA,NA,,,,,
GFPT1,-1.99853058,Arg,GCN2KO,0.688686345,0.244550284,-2.243080864,,,,,
GGA1,-0.894512635,Arg,GCN2KO,NA,NA,NA,,,,,
GGA2,-2.13941173,Arg,GCN2KO,NA,NA,NA,,,,,
GGA3,-0.769342745,Arg,GCN2KO,NA,NA,NA,,,,,
GGCT,0.416869008,Arg,GCN2KO,0.003438305,0.772237083,-0.355368076,,,,,
GGH,-0.565798793,Arg,GCN2KO,0.008997976,-0.513115251,-0.052683542,,,,,
GGPS1,-0.084394628,Arg,GCN2KO,0.762524839,-0.052285917,-0.032108711,,,,,
GIGYF2,-2.374508308,Arg,GCN2KO,2.22E-04,0.665181307,-3.039689614,,,,,
GHITM,-2.010130077,Arg,GCN2KO,9.09E-04,-0.553506069,-1.456624008,,,,,
GIPC1,-0.86064709,Arg,GCN2KO,NA,NA,NA,,,,,
GLCCI1,-3.407709505,Arg,GCN2KO,NA,NA,NA,,,,,
GNE,-1.874754543,Arg,GCN2KO,NA,NA,NA,,,,,
GLMN,-0.69836267,Arg,GCN2KO,0.583775122,-0.153268212,-0.545094458,,,,,
GLUL,-0.113428265,Arg,GCN2KO,6.81E-10,-1.571693867,1.458265602,,,,,
HAGH,-0.341968545,Arg,GCN2KO,9.19E-04,-1.227238551,0.885270006,,,,,
GLOD4,-0.791015602,Arg,GCN2KO,1.33E-07,0.707804355,-1.498819957,,,,,
GOLPH3L,-1.569750193,Arg,GCN2KO,0.952152703,-0.034937374,-1.534812818,,,,,
GK,-0.40483514,Arg,GCN2KO,4.23E-06,-2.689964499,2.285129359,,,,,
GLRX3,-0.467365992,Arg,GCN2KO,1.13E-05,1.009636328,-1.47700232,,,,,
GLS,-2.474955645,Arg,GCN2KO,NA,NA,NA,,,,,
GLTP,0.65860376,Arg,GCN2KO,NA,NA,NA,,,,,
PRKCSH,-0.940943342,Arg,GCN2KO,NA,NA,NA,,,,,
SHMT1,-1.860298778,Arg,GCN2KO,0.29819966,-0.749071804,-1.111226973,,,,,
GYG1,-1.215880957,Arg,GCN2KO,NA,NA,NA,,,,,
SHMT2,-1.234405523,Arg,GCN2KO,NA,NA,NA,,,,,
GLYR1,-1.312749115,Arg,GCN2KO,0.008089824,-1.28520271,-0.027546405,,,,,
GMDS,-1.099658363,Arg,GCN2KO,NA,NA,NA,,,,,
GMFB,-0.126082543,Arg,GCN2KO,0.278548222,-0.555694915,0.429612373,,,,,
GMPPA,-1.01183528,Arg,GCN2KO,NA,NA,NA,,,,,
GMPPB,-0.952904333,Arg,GCN2KO,NA,NA,NA,,,,,
GMPR2,-0.328371217,Arg,GCN2KO,0.00164699,-1.818191428,1.489820211,,,,,
